4.2.2.1,vnsc-pri.sys.gtei.net
4.2.2.2,vnsc-bak.sys.gtei.net
4.2.2.3,vnsc-lc.sys.gtei.net
4.2.2.4,vnsc-pri-dsl.genuity.net
4.2.2.5,vnsc-bak-dsl.genuity.net
4.2.2.6,vnsc-lc-dsl.genuity.net
8.8.4.4,google-public-dns-b.google.com
8.8.8.8,google-public-dns-a.google.com
62.6.40.162,indnsc70.bt.net
64.81.45.2,dns.lax1.speakeasy.net
64.81.79.2,dns.sfo1.speakeasy.net
64.81.111.2,den.speakeasy.net
64.81.127.2,dns.dfw1.speakeasy.net
64.81.159.2,dns.chi1.speakeasy.net
64.102.255.44,ns2.cisco.com
64.129.67.101,dnvr-rdns-02.dnvr.twtelecom.net
64.129.67.102,dnvr-rdns-03.dnvr.twtelecom.net
64.129.67.103,dnvr-rdns-04.dnvr.twtelecom.net
64.129.67.105,dnvr-rdns-06.dnvr.twtelecom.net
66.92.64.2,bos.speakeasy.net
66.92.159.2,dns.wdc1.speakeasy.net
66.92.224.2,phl.speakeasy.net
66.93.87.2,dns.sea1.speakeasy.net
66.128.240.7,host-66-128-240-7.united.net
66.128.240.8,host-66-128-240-8.united.net
67.19.0.10,cache01.theplanet.com
67.19.1.10,cache02.theplanet.com
68.87.64.154,phil-dnssec-trial.inflow.pa.bo.comcast.net
68.87.68.170,atlt-dnssec-trial.s3woodstock.ga.atlanta.comcast.net
68.87.69.154,bvrt-dnssec-trial.beaverton.or.bverton.comcast.net
69.56.222.10,cache02.theplanet.com
72.45.111.250,xplr-72-45-111-250.xplornet.com
72.45.111.251,xplr-72-45-111-251.xplornet.com
72.45.127.250,xplr-72-45-127-250.xplornet.com
72.45.127.251,xplr-72-45-127-251.xplornet.com
75.75.75.75,cdns01.comcast.net
75.75.76.76,cdns02.comcast.net
129.250.35.250,x.ns.gin.ntt.net
129.250.35.251,y.ns.gin.ntt.net
151.197.0.38,nsphil.bellatlantic.net
151.197.0.39,home4.bellatlantic.net
151.202.0.84,nyc1-qwest.bellatlantic.net
151.202.0.85,nyc2-qwest.bellatlantic.net
151.203.0.84,boston1-qwest.bellatlantic.net
151.203.0.85,boston2-qwest.bellatlantic.net
156.154.70.1,rdns1.ultradns.net
156.154.71.1,rdns2.ultradns.net
198.153.192.1,--- no official Internet DNS name ---
198.153.194.1,--- no official Internet DNS name ---
199.45.32.37,world1.bellatlantic.net
199.45.32.38,nsdc.bellatlantic.net
199.45.32.40,legacy-ns1.bellatlantic.net
199.45.32.43,home1.bellatlantic.net
203.55.230.104,per-qv1-dnsradius5.iinet.net.au
203.55.230.105,per-qv1-dnsradius6.iinet.net.au
203.215.3.43,syd-stl-cns1.iinet.net.au
204.97.212.10,ns3.sprintlink.net
204.194.232.200,--- no official Internet DNS name ---
204.194.234.200,--- no official Internet DNS name ---
205.210.42.205,cache1.dnsresolvers.com
206.124.64.1,bigguy.gte.net
207.126.96.162,ns.above.net
208.67.220.220,resolver2.opendns.com
208.67.222.222,resolver1.opendns.com
216.27.175.2,dns.atl1.speakeasy.net
216.185.111.10,cache01.theplanet.com
216.231.41.2,ns-legacy.speakeasy.net
216.254.95.2,dns.nyc1.speakeasy.net